Step,batch16,batch64
100,401.5466309,409.2433777
300,383.745636,492.4008179
500,390.9017944,424.2276917
600,427.8474121,439.0606384
725,319.6035156,408.1965637
925,308.4973145,495.2345886
1025,274.1365967,484.6210327
1125,310.7158813,450.8349304
1225,289.741394,404.0481567
1250,281.2189941,398.724762
1350,271.8623352,410.5669861
1450,288.4255676,384.0013123
1550,272.0466309,421.4783936
1650,247.7167969,563.2006226
1750,315.8043823,381.7895813
1850,270.3557434,503.5504456
1975,255.3050842,404.8100281
2175,267.9797058,358.2020569
2275,271.5422058,490.7563171
2475,267.6947021,396.6314392
2700,257.7572021,355.5110779
2800,267.0440369,363.7115173
2900,258.3506775,368.4151001
3000,262.2418823,393.739502
3100,230.2303619,384.7563477
3225,248.034729,270.4071655
3525,247.8272705,347.5050049
3625,249.6608276,401.990387
3750,249.4824677,382.684967
3850,221.8191681,327.4336853
3950,243.309967,311.71521
4050,260.2052612,318.0226746
4150,223.5299988,283.9580994
4250,244.7236176,297.5623474
4375,234.7521515,295.2524109
4475,246.6628113,292.1134949
4775,214.7254028,270.6593323
4875,271.1932983,261.7535095
4975,259.234375,277.3327332
5000,233.2198334,312.7487183
5100,228.2905884,304.9590149
5400,231.0027924,313.8581543
5500,226.5910797,244.5631561
5600,242.5948486,248.1494446
5625,237.1018677,359.647644
5725,246.8460388,302.2411499
5825,245.1726379,242.2180023
5925,223.4454041,241.0146942
6025,229.0378571,277.8884277
6125,226.8639221,246.385376
6225,233.364975,337.5782166
6350,240.0045319,326.9359131
6450,236.0617676,290.9257813
6550,250.8614502,288.5680542
6650,227.19104,271.9726563
6850,226.0862732,268.4188538
6975,233.1812286,301.416748
7075,233.3256836,273.6498718
7275,228.6781464,356.924408
7375,231.4745941,313.3355408
7500,231.5305328,310.543396
7600,231.8902435,305.4844055
7700,239.3898163,325.2343445
7800,231.7589874,258.2177734
7900,241.0614166,265.8583374
8000,224.5134125,285.9725037
8125,241.6736145,291.8844604
8225,246.9172058,308.5301514
8325,221.1276398,271.1986084
8425,240.8383636,269.375824
8625,239.8920593,307.0440674
8850,231.040329,297.730957
8950,237.3802338,254.6899261
9050,249.2915955,241.6192932
9150,220.2194672,254.0980835
9350,239.5411224,259.2984009
9375,226.1174011,272.1715393
9475,265.2562866,282.2290344
9775,230.7108612,273.2222595
9875,240.6288757,279.4501038
10100,245.6576385,288.510498
10400,227.0882721,274.110321
10500,230.2627411,241.628891
10600,219.8213654,290.5656433
10625,229.9795837,277.6333923
10725,243.6589203,260.5006714
11025,243.2307129,246.1178131
11125,230.6985321,303.3742981
11225,248.4291229,277.8408203
11250,228.629776,259.1095581
11350,234.6046143,260.3432922
11550,232.0398865,259.4779053
11650,227.0103149,253.3176575
11875,241.2781525,294.5558167
12175,216.6965027,308.5648499
12275,242.299469,261.8813171
12475,235.3939667,276.1537476
12600,222.5321655,274.1985168
12700,228.4388733,269.0817566
12800,225.8964844,286.818634
12900,239.5862579,297.2339783
13000,244.4797058,238.8686676
13100,238.4228973,259.0148621
13225,248.6288605,273.3591614
13325,230.461853,279.2083435
13425,216.3621521,292.8120422
13525,232.9898682,281.5212708
13725,219.0546722,261.5782471
13750,227.0047607,263.0401306
13850,226.9110565,280.0746155
14050,233.9915924,257.8102112
14150,227.3926544,248.2870178
14250,239.574585,258.4936523
14375,217.0024872,277.5455322
14475,260.8890076,264.276062
14675,227.4813232,244.1573181
14775,232.8039551,250.901062
14975,231.5939026,245.0762024
15000,232.0699158,314.7019348
15100,218.4255066,301.2532349
15300,232.3359833,246.68396
15400,230.9293365,259.2891235
15625,233.3464661,259.5507202
15725,242.1607666,231.9735718
15825,230.0193176,256.5490723
15925,235.5385132,265.1696777
16125,236.912735,244.8382874
16225,226.0374146,248.6468658
16350,239.9049835,256.4925232
16550,217.0762482,223.9559326
16650,231.2493744,257.444397
16750,241.7819519,266.4060364
16850,230.9477234,250.1694946
16975,219.2107697,239.1420593
17075,221.6236877,256.7834473
17375,218.5504761,249.9547272
17700,233.7129364,263.2903748
17800,226.6400757,246.1295013
18100,222.269455,244.7957153
18125,227.937912,236.1792297
18325,224.9109802,254.8333893
18425,216.3202362,234.0842133
18525,212.250412,262.2971497
18625,220.4099274,263.4263611
18725,225.9957275,251.3032379
18950,218.5619507,264.0125427
19050,223.0551605,235.4327393
19150,222.3013153,234.2560883
19250,226.7874451,266.00177
19475,231.9937744,239.9409943
