Step,bce,mse
0,332.4689331,424.6334229
100,351.16810912,409.76405034000004
157,356.41151365599995,410.84629887200003
257,381.4748835247999,404.9411931576001
314,382.9113155198399,387.98219646608004
414,372.1203304958719,375.531368752864
471,368.9654599566975,380.01600076229124
571,368.96764994535795,377.123579409833
628,357.75770149628636,382.2916674878664
728,345.4622280970291,369.1107204702931
785,344.6169443376233,384.0365988362345
885,338.85393755009864,370.23727466898754
942,331.9072833400789,380.73242837519
1042,334.35007593206313,384.295598460152
1099,334.0871225056505,379.0582194881216
1199,332.5075214845204,385.38214687049725
1256,322.62223422761633,383.7196945563978
1356,335.5196868020931,366.04419436511824
1413,322.33772210167444,349.0248879720946
1513,320.19439032133954,348.07363351767566
1570,317.8604988370716,336.37408625414054
1670,315.5667865296573,340.1697096833124
1727,316.4539663237258,343.23112296664993
1827,316.3103532389806,330.61557463331997
1884,311.5900855711845,320.74244138665597
1984,304.4204754369476,318.88705002932477
2041,296.12683444955803,311.0138941834598
2141,291.71454739964645,306.39619834676785
2198,284.92015475971715,302.75458685741427
2298,280.2964936877737,293.0038586859314
2355,281.1947144902189,285.85865944874513
2455,277.51794811217513,284.0500440189961
2512,275.53757014974013,281.5619590351969
2612,272.6298119797921,277.5429327081575
2669,272.2717817038337,273.809590306526
2769,272.43770734306696,269.7197944452208
2826,269.20325425445355,271.24602597617667
2926,264.28667566356285,266.78073496094134
2983,265.1227548308503,270.63876032875305
3083,266.3581770046802,269.28790646300246
3140,265.0896910237442,267.29228195040196
3240,263.6343199589954,263.46935108032153
3297,261.7300908471963,261.48047658425725
3397,258.18438701775705,259.2619447474058
3454,260.0242674342056,256.05434949792465
3554,259.9028734273645,253.87481503833973
3611,259.5567469818916,254.84800877067178
3711,254.08088036551328,250.32096683653742
3768,253.78949983241063,246.82438210922993
3868,251.7240986459285,250.03828376738394
3925,252.7362857567428,249.55288347390717
4025,250.05062834539424,246.96569849912575
4082,248.2593899963154,243.18483295930062
4182,243.62897805705234,242.6689845274405
4239,244.57675726564185,241.9917031219524
4339,246.81028887251347,242.46680305756195
4396,245.08378407801078,241.65574224604956
4496,244.41035612240861,240.84027983683964
4553,240.9563824379269,237.47217808947173
4653,237.87249121034154,236.75580949157737
4710,232.7487925282732,237.9809628932619
4810,230.20323630261856,237.07893841460952
4867,227.45999810209486,236.84100717168764
4967,226.11346052167588,235.04029231735012
5024,227.4603545973407,232.3522289738801
5124,223.83834897787258,232.94670017910408
5181,221.54252062229807,232.47910392328328
5281,224.10679481783845,234.28776005862662
5338,224.48040655427076,231.6690203069013
5438,224.20623686341662,231.63570758552106
5495,224.5212425507333,233.48139320841685
5595,222.54157900058664,232.5917735067335
5652,224.31028346046932,232.3738338453868
5752,220.72932418837544,231.85402313630945
5809,220.50273425070037,232.40898450904754
5909,218.8680382405603,231.31440684723805
5966,217.41536259244825,236.05517843779043
6066,214.70964297395858,234.42262175023234
6123,216.49559829916686,231.01662218018586
6223,215.59715001933347,229.3880322441487
6280,217.20596709546678,227.62495827531893
6380,218.07603161637343,230.17250690025514
6437,218.56512827309876,230.88407486020412
6537,217.64826349847903,228.9239804681633
6594,217.74583553878324,228.34543437453064
6694,216.7453866910266,229.1154771396245
6751,216.76196791282126,225.3466297516996
6851,214.909220330257,227.29030124135969
6908,214.5213093642056,227.55075295308777
7008,214.05986365136448,227.7939501424702
7065,214.3721035610916,226.2977180939762
7165,215.42437962887328,227.86670841518097
7222,211.95224784309863,225.0037518721448
7322,211.9826265144789,225.27054299771584
7379,211.41925551158312,226.95854255817267
7479,213.4470621292665,228.68655144653812
7536,211.6798390434132,227.3922404172305
7636,212.2916190347306,224.7878920737844
7693,214.39324700778445,223.6443517390275
7793,215.06818952622757,226.333883491222
7850,214.85691368098207,226.06979233297758
7950,213.31110468478568,223.72375074638208
8007,216.31872626782854,222.68083775710568
8107,213.26470085426283,223.88697062568454
8164,212.62807842341027,223.7460083805476
8264,213.58912655872822,223.3565235044381
8321,213.3396758869826,224.63089446355048
8421,214.16723936958607,224.87546447084037
8478,216.45440307566886,225.7396293966723
8578,218.8706391605351,225.15334901733786
8635,217.87397104842807,223.4900620338703
8735,217.97396625874248,225.20186102709624
8792,219.563999666994,225.218544481677
8892,217.1922763935952,226.63771704534162
8949,216.27616913487614,230.0506429962733
9049,214.67412438790092,227.90174181701866
9106,215.81081441032072,228.42690187361495
9206,216.35024454825657,225.62402271889198
9263,215.57359773860526,226.6120538751136
9363,216.89521547088418,224.58690568009087
9420,216.45629993670735,222.6404443440727
9520,218.7678414693659,222.01832471525816
9577,219.10646677549272,221.12822483220654
9677,216.61998176039418,223.02638968576522
9734,216.81062468831533,224.46336638861217
9834,214.63246581065226,226.23168859088975
9891,216.3765842285218,224.0897179327118
9991,218.96192718281748,224.50216984616944
10048,219.24500560625398,223.25202579693553
10148,215.6471916250032,219.7505158975484
10205,213.74613464000257,220.4642646380387
10305,214.89341039200207,221.58409177043097
10362,214.33861747360166,222.88337143634476
10462,216.28820355888135,226.15705420907582
10519,215.35721690710508,227.23328802726067
10619,216.76946188568408,229.85965898180854
10676,217.59755192854726,230.40067578544682
10776,216.4450367828378,232.14316636835747
10833,216.21018896627027,227.69010071468597
10933,213.85102471301622,227.3579033317488
10990,213.69265143041298,227.98185184539904
11090,213.17791874433038,227.3367265963192
11147,214.37995095546432,228.25492509705535
11247,214.01259724437148,226.0405855776443
11304,211.7801614154972,224.19720540211546
11404,210.12221873239776,228.49019840169237
11461,209.3807950059182,229.39099906135388
11561,211.90876198473455,227.8160158090831
11618,211.05807952778764,225.75397842726647
11718,214.63633178223012,225.86339698181317
11775,213.6641496457841,222.88163554545054
11875,212.51929273662728,221.91454611636044
11932,214.27598716930183,221.85313347308838
12032,213.18662531544146,223.0451593584707
12089,215.2913321123532,223.44389726677656
12189,212.64649646988255,221.83247987342125
12246,212.38884939590605,221.697508558737
12346,210.79840861672483,220.6486837269896
12403,210.29620065337986,222.50236984159167
12503,213.32708808270388,221.88925855327335
12560,212.3907140461631,222.18270506261868
12660,210.98825483693048,221.71615917009495
12717,212.17120078954437,218.08391061607597
12817,214.36653827163548,215.31653339286078
12874,214.7685449573084,216.10078531428863
12974,215.6024122658467,219.7572456914309
13031,216.13409045267736,218.62709171314475
13131,215.0353729421419,216.05425515051581
13188,213.22775209371352,215.44843646041267
13288,214.95187635497084,218.12702308833013
13345,215.42640282397667,218.7709086306641
13445,213.91319257918136,216.4689363845313
13502,214.3186155833451,217.44804034762507
13602,215.77999622667608,217.05402247810008
13659,213.17198282134086,217.9128560424801
13759,213.59359517707267,222.39549479398408
13816,212.58116886165814,221.26170223518727
13916,212.2832792093265,217.42839864814982
13973,211.9797422674612,215.08523905851985
14073,214.83123949396898,216.24348420681588
14130,216.06984389517518,214.5850858254527
14230,215.35879565614016,217.67184978036215
14287,214.39106790491212,219.5979748242897
14387,213.3153811839297,218.86454929943176
14444,212.67007838714375,215.7043683195454
14544,212.502307209715,214.78830545563633
14601,211.397115547772,215.87607588450908
14701,217.20879655821759,214.50556040760725
14758,217.21418690657407,215.8244220860858
14858,215.69510136525926,216.94809968886867
14915,215.32863969220742,220.99857679109493
15015,215.71607947376592,220.63004123287595
15072,214.97146281901271,219.7021897263008
15172,211.45369003521017,220.76563362104062
15229,213.72057226816816,219.0742622768325
15329,216.42939971453453,218.23111698146602
15386,217.76859607162763,218.77608926517283
15486,217.7197505173021,217.97045943213826
15543,215.37492151384166,220.1485050057106
15643,213.92699409107334,220.98743192456848
15700,214.1548154928587,221.1599131996548
15800,213.58009019428698,223.24794397972383
15857,224.02959949542958,222.09152230377904
15957,220.93255411634368,222.28608100302324
16014,220.84709615307494,219.75748114241858
16114,218.54705864245994,221.05049175393486
16171,217.63056989396796,221.31956210314792
16271,217.0608859751744,222.35222866251834
16328,217.93659330013952,220.33035775001468
16428,216.9099130601116,217.30341890001174
16485,216.31292190808927,219.02532484000938
16585,217.7416461264714,218.9811210720075
16642,218.51451746117712,218.489065557606
16742,215.9509663889417,218.75153992608483
16799,217.8852421111534,217.19639186086786
16899,216.3257107689227,214.16341842869429
16956,219.35452919513818,215.46063586295543
17056,220.62376617611056,216.11391885036437
17113,220.49025440088846,213.46131330029152
17213,219.64928664071078,213.5506088602332
17270,217.53786497256863,212.90414370818658
17370,217.0471651380549,214.50439712654926
17427,216.61567095044393,213.1379598412394
17527,215.00494216035514,214.60769453299153
17584,218.43682726828413,214.05364524639322
17684,214.6856556546273,213.3143578571146
17741,214.15790258370185,213.8794068256917
17841,214.5766119869615,211.34308234055334
17898,213.5162639495692,210.32798759244267
17998,211.64263151965537,211.05671381395413
18055,212.6680633357243,210.00882015116332
18155,212.21690306857946,209.47961472093064
18212,213.76295727486357,210.7364536167445
18312,212.06608785989084,211.5347744733956
18369,214.49160624791267,211.10240147871647
18469,213.16933479833014,212.9937467429732
18526,212.57141143866411,213.97663191437857
18626,213.9832796709313,213.39629271150284
18683,211.16562153674505,213.29864426920227
18783,215.17676908939606,213.22859131536183
18840,212.98782641151683,213.85943861228947
18940,214.5723320492135,215.1571126498316
18997,214.2149853993708,217.64775431986527
19097,211.99220925949663,222.19631319589223
19154,210.1308462675973,224.3217874967138
19254,214.76230641407784,225.38232317737103
19311,214.15118425126226,223.52137368189682
19411,216.2960603210098,224.40590814551746
19468,216.37874889680785,221.77526361641398
19568,219.48302231744628,220.17462983313118
19625,215.80269287395703,217.16794482650494
19725,215.51456639916563,215.83827736120395
19782,212.9361770393325,216.75288812896318
19882,211.572409651466,220.64660676317055
19939,213.6246757611728,218.55196559053644
20039,212.01151734893824,217.97877951242916
20096,214.24564271915062,216.79223076994333
20196,214.7913475553205,214.98866131595466
20253,212.6826691042564,217.23900645276373
20353,215.39137148340512,215.72137178221098
20410,218.66197108672412,216.95392848576878
20510,214.8662925693793,214.52765694861503
20567,214.59831665550342,217.034668278892
20667,215.11018714440274,216.13345972311362
20724,217.6923275755222,217.40675251849092
20824,217.41942908041776,216.46472391479273
20881,214.86673528433423,218.94854305183418
20981,213.3407270874674,219.30292928146736
21038,211.34349230997393,218.3819918651739
21138,212.00613844797914,218.8045497921391
21195,209.6811070383833,217.85223969371128
21295,214.75613441070664,216.21719215496904
21352,213.0888461285653,215.54727972397524
21452,211.79457544285225,216.0433474591802
21509,214.5476293542818,216.27476586734417
21609,214.36784896342544,214.56008673387532
21666,211.94916809074036,212.85089530710025
21766,211.0259177325923,211.99389984568018
21823,213.29805352607383,211.86739771654413
21923,211.39854414085906,215.0035983532353
21980,211.26140123268723,214.66095974258826
22080,210.3523186261498,215.58598215407062
22137,210.06315678091985,214.7267782832565
22237,213.0931127047359,211.8522447666052
22294,213.6525114037887,212.25017959328417
22394,214.64212630303098,213.34868187462735
22451,212.33850572242477,217.49497333970186
22551,212.71316297793982,215.47286465176148
22608,212.88692442235185,217.29420664140918
22708,213.4419675178815,216.27106173312734
22765,214.0327396543052,217.51703248650188
22865,214.69904328344415,218.9179381292015
22922,212.3984924467553,221.49303886336122
23022,215.81460083740424,218.58208367068897
23079,216.2272513499234,217.05078961655119
23179,214.58518241993872,217.23504697324094
23236,220.64136371595094,214.20517929859275
23336,221.40365799276077,215.7353989388742
23393,220.3933029742086,216.24581427109936
23493,217.5002045193669,216.9275687768795
23550,218.11938359549353,215.6380541615036
23650,218.78643095639484,215.74300558920285
23707,216.65819750511588,217.5507002513623
23807,217.5673905240927,219.98963552108984
23864,217.09329535927418,218.17312015687187
23964,213.94469548741935,216.4305707054975
24021,211.4498939699355,214.82706154439802
24121,213.2913940559484,214.55434027551843
24178,213.24401612475873,215.99506218041475
24278,212.21650195980698,217.6420305843318
24335,210.9233114278456,216.95287312746544
24435,211.65593124227647,220.12363578197233
24492,213.46004163382116,217.58609428557787
24592,214.18842210705694,217.47834808846233
24649,216.29172584564554,213.91238123076988
24749,215.82888849651644,213.5202492246159
24806,218.07418257721315,211.75214603969272
