Step,mse,bce
0,424.6334229,332.4689331
100,350.2865601,425.9648132
157,415.175293,377.3851318
257,381.3207703,481.728363
314,320.1462097,388.6570435
414,325.7280579,328.9563904
471,397.9545288,356.3459778
571,365.553894,368.9764099
628,402.9640198,312.9179077
728,316.3869324,296.2803345
785,443.7401123,341.2358093
885,315.039978,315.8019104
942,422.7130432,304.1206665
1042,398.5482788,344.1212463
1099,358.1087036,333.0353088
1199,410.6778564,326.1891174
1256,377.0698853,283.0810852
1356,295.3421936,387.1094971
1413,280.9476624,269.6098633
1513,344.2686157,311.6210632
1570,289.5758972,308.5249329
1670,355.3522034,306.3919373
1727,355.4767761,320.0026855
1827,280.1533813,315.7359009
1884,281.2499084,292.7090149
1984,311.4654846,275.7420349
2041,279.5212708,262.9522705
2141,287.925415,274.0653992
2198,288.1881409,257.7425842
2298,254.000946,261.8018494
2355,257.2778625,284.7875977
2455,276.8155823,262.8108826
2512,271.6096191,267.6160583
2612,261.4668274,260.9987793
2669,258.8762207,270.8396606
2769,253.360611,273.1014099
2826,277.3509521,256.2654419
2926,248.9195709,244.6203613
2983,286.0708618,268.4670715
3083,263.884491,271.2998657
3140,259.3097839,260.0157471
3240,248.1776276,257.8128357
3297,253.5249786,254.1131744
3397,250.3878174,244.0015717
3454,243.2239685,267.3837891
3554,245.1566772,259.4172974
3611,258.7407837,258.1722412
3711,232.2127991,232.1774139
3768,232.8380432,252.6239777
3868,262.8938904,243.4624939
3925,247.6112823,256.7850342
4025,236.6169586,239.3079987
4082,228.0613708,241.0944366
4182,240.6055908,225.1073303
4239,239.2825775,248.3678741
4339,244.3672028,255.7444153
4396,238.411499,238.1777649
4496,237.5784302,241.7166443
4553,223.9997711,227.1404877
4653,233.8903351,225.5369263
4710,242.8815765,212.2539978
4810,233.4708405,220.0210114
4867,235.8892822,216.4870453
4967,227.8374329,220.7273102
5024,221.5999756,232.8479309
5124,235.324585,209.3503265
5181,230.6087189,212.3592072
5281,241.5223846,234.3638916
5338,221.1940613,225.9748535
5438,231.5024567,223.1095581
5495,240.8641357,225.7812653
5595,229.0332947,214.6229248
5652,231.5020752,231.3851013
5752,229.7747803,206.4054871
5809,234.62883,219.5963745
5909,226.9360962,212.3292542
5966,255.0182648,211.60466
6066,227.892395,203.8867645
6123,217.3926239,223.6394196
6223,222.8736725,212.0033569
6280,220.5726624,223.6412354
6380,240.3627014,221.5562897
6437,233.7303467,220.5215149
6537,221.0836029,213.9808044
6594,226.03125,218.1361237
6694,232.1956482,212.7435913
6751,210.2712402,216.8282928
6851,235.0649872,207.49823
6908,228.5925598,212.9696655
7008,228.7667389,212.2140808
7065,220.3127899,215.6210632
7165,234.1426697,219.6334839
7222,213.5519257,198.0637207
7322,226.3377075,212.1041412
7379,233.7105408,209.1657715
7479,235.598587,221.5582886
7536,222.2149963,204.6109467
7636,214.3704987,214.738739
7693,219.0701904,222.7997589
7793,237.0920105,217.7679596
7850,225.0134277,214.0118103
7950,214.3395844,207.1278687
8007,218.5091858,228.3492126
8107,228.7115021,201.0485992
8164,223.1821594,210.0815887
8264,221.798584,217.4333191
8321,229.7283783,212.3418732
8421,225.8537445,217.4774933
8478,229.1962891,225.6030579
8578,222.8082275,228.5355835
8635,216.8369141,213.8872986
8735,232.049057,218.3739471
8792,225.2852783,225.9241333
8892,232.3144073,207.7053833
8949,243.7023468,212.6117401
9049,219.3061371,208.2659454
9106,230.5275421,220.3575745
9206,214.4125061,218.5079651
9263,230.5641785,212.4670105
9363,216.4863129,222.1816864
9420,214.854599,214.7006378
9520,219.5298462,228.0140076
9577,217.5678253,220.460968
9677,230.6190491,206.6740417
9734,230.2112732,217.5731964
9834,233.3049774,205.9198303
9891,215.5218353,223.3530579
9991,226.1519775,229.303299
10048,218.2514496,220.3773193
10148,205.7444763,201.2559357
10205,223.3192596,206.1419067
10305,226.0634003,219.4825134
10362,228.0804901,212.1194458
10462,239.2517853,224.0865479
10519,231.5382233,211.6332703
10619,240.3651428,222.4184418
10676,232.564743,220.9099121
10776,239.1131287,211.8349762
10833,209.8778381,215.2707977
10933,226.0291138,204.4143677
10990,230.4776459,213.0591583
11090,224.7562256,211.118988
11147,231.9277191,219.1880798
11247,217.1832275,212.5431824
11304,216.8236847,202.8504181
11404,245.6621704,203.490448
11461,232.9942017,206.4151001
11561,221.5160828,222.0206299
11618,217.5058289,207.6553497
11718,226.3010712,228.9493408
11775,210.9545898,209.7754211
11875,218.0461884,207.9398651
11932,221.6074829,221.3027649
12032,227.8132629,208.8291779
12089,225.0388489,223.7101593
12189,215.3868103,202.0671539
12246,221.1576233,211.3582611
12346,216.4533844,204.4366455
12403,229.9171143,208.2873688
12503,219.4368134,225.4506378
12560,223.3564911,208.6452179
12660,219.8499756,205.378418
12717,203.5549164,216.9029846
12817,204.2470245,223.1478882
12874,219.237793,216.3765717
12974,234.3830872,218.9378815
13031,214.1064758,218.2608032
13131,205.7629089,210.6405029
13188,213.0251617,205.9972687
13288,228.8413696,221.8483734
13345,221.3464508,217.3245087
13445,207.2610474,207.8603516
13502,221.3644562,215.9403076
13602,215.477951,221.6255188
13659,221.3481903,202.7399292
13759,240.3260498,215.2800446
13816,216.726532,208.5314636
13916,202.0951843,211.0917206
13973,205.7126007,210.7655945
14073,220.8764648,226.2372284
14130,207.9514923,221.0242615
14230,230.0189056,212.5146027
14287,227.302475,210.5201569
14387,215.9308472,209.0126343
14444,203.0636444,210.0888672
14544,211.124054,211.8312225
14601,220.2271576,206.9763489
14701,209.0234985,240.4555206
14758,221.0998688,217.2357483
14858,221.4428101,209.6187592
14915,237.2004852,213.862793
15015,219.155899,217.2658386
15072,215.9907837,211.9929962
15172,225.0194092,197.3825989
15229,212.3087769,222.7881012
15329,214.8585358,227.2647095
15386,220.9559784,223.1253815
15486,214.7479401,217.5243683
15543,228.8606873,205.9956055
15643,224.3431396,208.1352844
15700,221.8498383,215.0661011
15800,231.6000671,211.281189
15857,217.4658356,265.8276367
15957,223.0643158,208.5443726
16014,209.6430817,220.5052643
16114,226.2225342,209.3469086
16171,222.3958435,213.9646149
16271,226.4828949,214.7821503
16328,212.2428741,221.4394226
16428,205.1956635,212.8031921
16485,225.9129486,213.9249573
16585,218.804306,223.456543
16642,216.5208435,221.6060028
16742,219.8014374,205.6967621
16799,210.9757996,225.622345
16899,202.0315247,210.0875854
16956,220.6495056,231.4698029
17056,218.7270508,225.7007141
17113,202.8508911,219.9562073
17213,213.9077911,216.2854156
17270,210.3182831,209.0921783
17370,220.9054108,215.0843658
17427,207.6722107,214.8896942
17527,220.4866333,208.562027
17584,211.8374481,232.1643677
17684,210.3572083,199.6809692
17741,216.1396027,212.0468903
17841,201.1977844,216.2514496
17898,206.2676086,209.2748718
17998,213.9716187,204.1481018
18055,205.8172455,216.7697906
18155,207.362793,210.412262
18212,215.7638092,219.9471741
18312,214.7280579,205.2786102
18369,209.3729095,224.1936798
18469,220.5591278,207.880249
18526,217.9081726,210.179718
18626,211.0749359,219.6307526
18683,212.9080505,199.894989
18783,212.9483795,231.2213593
18840,216.3828278,204.2320557
18940,220.3478088,220.9103546
18997,227.610321,212.7855988
19097,240.3905487,203.1011047
19154,232.8236847,202.6853943
19254,229.6244659,233.288147
19311,216.0775757,211.7066956
19411,227.944046,224.8755646
19468,211.2526855,216.7095032
19568,213.7720947,231.900116
19625,205.1412048,201.0813751
19725,210.5196075,214.3620605
19782,220.4113312,202.6226196
19882,236.2214813,206.1173401
19939,210.1734009,221.8337402
20039,215.6860352,205.5588837
20096,212.0460358,223.1821442
20196,207.7743835,216.9741669
20253,226.240387,204.2479553
20353,209.6508331,226.226181
20410,221.8841553,231.7443695
20510,204.8225708,199.6835785
20567,227.0627136,213.526413
