Step5,bce5,mse5,Step,bce,mse
0,422.4677124,424.6334229,0,332.4689331,424.6334229
100,422.3941772,417.1987366,100,351.1681091,409.7640503
157,414.8054858,416.9963923,157,356.4115137,410.8462989
257,413.142198,413.4288301,257,381.4748835,404.9411932
314,405.35491,404.100568,314,382.9113155,387.9821965
414,399.663941,396.263317,414,372.1203305,375.5313688
471,391.7295172,396.4324382,471,368.96546,380.0160008
571,384.828825,393.3445838,571,368.9676499,377.1235794
628,380.5503889,394.3065274,628,357.7577015,382.2916675
728,375.2175424,386.5145679,728,345.4622281,369.1107205
785,372.5574367,392.2371223,785,344.6169443,384.0365988
885,377.3117333,384.5174079,885,338.8539376,370.2372747
942,373.6177731,388.3369714,942,331.9072833,380.7324284
1042,377.7812003,389.3581022,1042,334.3500759,384.2955985
1099,370.9711375,386.2331623,1099,334.0871225,379.0582195
1199,365.0325809,388.6776317,1199,332.5075215,385.3821469
1256,358.0453659,387.5168571,1256,322.6222342,383.7196946
1356,359.2197355,378.2993907,1356,335.5196868,366.0441944
1413,353.9555531,368.5642179,1413,322.3377221,349.024888
1513,352.0473147,366.1346577,1513,320.1943903,348.0736335
1570,348.9391683,358.4787816,1570,317.8604988,336.3740863
1670,342.9626404,358.1661238,1670,315.5667865,340.1697097
1727,339.1236304,357.897189,1727,316.4539663,343.231123
1827,341.8499392,350.1228083,1827,316.3103532,330.6155746
1884,337.7169778,343.2355183,1884,311.5900856,320.7424414
1984,333.0637126,340.0585149,1984,304.4204754,318.88705
2041,329.702547,334.0047905,2041,296.1268344,311.0138942
2141,332.2940294,329.3968529,2141,291.7145474,306.3961983
2198,328.8256616,325.2759817,2198,284.9201548,302.7545869
2298,324.1088608,318.1484782,2298,280.2964937,293.0038587
2355,323.5394207,312.0614166,2355,281.1947145,285.8586594
2455,323.1059864,308.5368332,2455,277.5179481,284.050044
2512,328.7521718,304.8441118,2512,275.5375701,281.561959
2612,326.777388,300.5063833,2612,272.629812,277.5429327
2669,322.4166505,296.3433671,2669,272.2717817,273.8095903
2769,323.560981,292.0450915,2769,272.4377073,269.7197944
2826,323.5940491,290.5756775,2826,269.2032543,271.246026
2926,319.31128,286.4100669,2926,264.2866757,266.780735
2983,314.5930334,286.3761464,2983,265.1227548,270.6387603
3083,324.9016592,284.1269808,3083,266.358177,269.2879065
3140,323.1185306,281.6452611,3140,265.089691,267.292282
3240,326.7524325,278.2984978,3240,263.63432,263.4693511
3297,325.1070751,275.8211459,3297,261.7300908,261.4804766
3397,329.6858208,273.277813,3397,258.184387,259.2619447
3454,325.3902856,270.2724286,3454,260.0242674,256.0543495
3554,326.615292,267.7608534,3554,259.9028734,253.874815
