Step,bce,mse
0,422.4677124,424.6334229
100,421.7323608,350.2865601
157,346.5072632,415.175293
257,398.1726074,381.3207703
314,335.2693176,320.1462097
414,348.4452209,325.7280579
471,320.3197021,397.9545288
571,322.7225952,365.553894
628,342.0444641,402.9640198
728,327.2219238,316.3869324
785,348.6164856,443.7401123
885,420.1004028,315.039978
942,340.3721313,422.7130432
1042,415.2520447,398.5482788
1099,309.6805725,358.1087036
1199,311.5855713,410.6778564
1256,295.1604309,377.0698853
1356,369.7890625,295.3421936
1413,306.5779114,280.9476624
1513,334.8731689,344.2686157
1570,320.9658508,289.5758972
1670,289.1738892,355.3522034
1727,304.5725403,355.4767761
1827,366.3867188,280.1533813
1884,300.5203247,281.2499084
1984,291.1843262,311.4654846
2041,299.4520569,279.5212708
2141,355.6173706,287.925415
2198,297.6103516,288.1881409
2298,281.6576538,254.000946
2355,318.4144592,257.2778625
2455,319.2050781,276.8155823
2512,379.5678406,271.6096191
2612,309.0043335,261.4668274
2669,283.1700134,258.8762207
2769,333.8599548,253.360611
2826,323.8916626,277.3509521
2926,280.7663574,248.9195709
2983,272.1288147,286.0708618
3083,417.6792908,263.884491
3140,307.0703735,259.3097839
3240,359.45755,248.1776276
3297,310.2988586,253.5249786
3397,370.8945313,250.3878174
3454,286.7304688,243.2239685
3554,337.6403503,245.1566772
3611,350.099823,258.7407837
3711,300.796875,232.2127991
3768,310.5463562,232.8380432
3868,290.396759,262.8938904
3925,293.0065002,247.6112823
4025,329.6556091,236.6169586
4082,293.9234619,228.0613708
4182,272.5927124,240.6055908
4239,346.9273987,239.2825775
4339,274.7305908,244.3672028
4396,325.5338135,238.411499
4496,355.4431458,237.5784302
4553,313.1524048,223.9997711
4653,330.7590637,233.8903351
4710,297.311615,242.8815765
4810,263.6800842,233.4708405
4867,309.9324646,235.8892822
4967,316.4745789,227.8374329
5024,275.6223145,221.5999756
5124,323.6188049,235.324585
5181,305.4794006,230.6087189
5281,251.4433289,241.5223846
5338,273.8408813,221.1940613
5438,348.369812,231.5024567
5495,298.1911621,240.8641357
5595,289.6661682,229.0332947
5652,290.5488586,231.5020752
5752,287.9494934,229.7747803
5809,291.473114,234.62883
5909,295.92453,226.9360962
5966,267.3190918,255.0182648
6066,297.8109741,227.892395
6123,262.1980591,217.3926239
6223,295.8764343,222.8736725
6280,290.5564575,220.5726624
6380,343.5136719,240.3627014
6437,321.7547302,233.7303467
6537,308.120575,221.0836029
6594,263.0143127,226.03125
6694,302.7470703,232.1956482
6751,312.3702393,210.2712402
6851,337.2931213,235.0649872
6908,268.2454529,228.5925598
7008,299.6982727,228.7667389
7065,239.219223,220.3127899
7165,253.8655853,234.1426697
7222,270.053833,213.5519257
7322,259.5842285,226.3377075
7379,248.6412048,233.7105408
7479,261.2457275,235.598587
7536,252.1694489,222.2149963
7636,256.6826782,214.3704987
7693,274.9436035,219.0701904
7793,265.2425537,237.0920105
7850,289.5253601,225.0134277
7950,337.7657166,214.3395844
8007,285.784729,218.5091858
8107,275.7446899,228.7115021
8164,289.2677002,223.1821594
8264,267.6752625,221.798584
8321,295.4605408,229.7283783
8421,288.9922485,225.8537445
8478,277.2357483,229.1962891
8578,256.8041077,222.8082275
8635,346.2162781,216.8369141
8735,316.1330261,232.049057
8792,289.0411072,225.2852783
8892,270.9203491,232.3144073
8949,246.6106415,243.7023468
9049,276.6499634,219.3061371
9106,257.9594727,230.5275421
9206,248.4907074,214.4125061
9263,280.3103027,230.5641785
9363,268.7393188,216.4863129
9420,261.4162598,214.854599
9520,258.5395508,219.5298462
9577,278.8907776,217.5678253
9677,279.0834656,230.6190491
9734,269.1319275,230.2112732
9834,281.4845886,233.3049774
9891,258.7403564,215.5218353
9991,262.6453552,226.1519775
10048,263.0982666,218.2514496
10148,277.0049438,205.7444763
10205,254.2400665,223.3192596
10305,258.6578674,226.0634003
10362,268.6677856,228.0804901
10462,288.8573608,239.2517853
10519,276.0542908,231.5382233
10619,259.2227478,240.3651428
10676,263.8177185,232.564743
10776,307.5466614,239.1131287
10833,263.4855957,209.8778381
10933,265.3104248,226.0291138
10990,275.8067627,230.4776459
11090,309.6150818,224.7562256
11147,280.4537659,231.9277191
11247,299.0415649,217.1832275
11304,271.5743713,216.8236847
11404,277.4300537,245.6621704
11461,274.7019348,232.9942017
11561,255.071701,221.5160828
11618,266.3875427,217.5058289
11718,274.2650757,226.3010712
11775,259.3956299,210.9545898
11875,264.6047668,218.0461884
11932,278.1435242,221.6074829
12032,340.473114,227.8132629
12089,240.275116,225.0388489
12189,283.9921265,215.3868103
12246,271.23349,221.1576233
12346,307.4837646,216.4533844
12403,298.3810425,229.9171143
12503,278.5822449,219.4368134
12560,266.8432312,223.3564911
12660,271.3730469,219.8499756
12717,275.0592346,203.5549164
12817,303.2505493,204.2470245
12874,280.197876,219.237793
12974,271.2358704,234.3830872
13031,241.6066589,214.1064758
13131,273.8201904,205.7629089
13188,252.4532776,213.0251617
13288,240.9040833,228.8413696
13345,269.9604492,221.3464508
13445,242.5954437,207.2610474
13502,251.9473572,221.3644562
13602,278.8641357,215.477951
13659,259.7118835,221.3481903
13759,250.134201,240.3260498
13816,289.5698853,216.726532
13916,262.186554,202.0951843
13973,264.6976624,205.7126007
14073,281.3288269,220.8764648
14130,240.3150024,207.9514923
14230,276.4893188,230.0189056
14287,255.3952942,227.302475
14387,282.7168274,215.9308472
14444,277.6238708,203.0636444
14544,244.7127686,211.124054
14601,258.2585449,220.2271576
14701,282.695343,209.0234985
14758,237.9625092,221.0998688
14858,273.615387,221.4428101
14915,268.800415,237.2004852
15015,265.3754578,219.155899
15072,247.1638336,215.9907837
15172,268.796051,225.0194092
15229,245.8172455,212.3087769
15329,286.5169678,214.8585358
15386,268.7501221,220.9559784
15486,252.0503387,214.7479401
15543,250.1746216,228.8606873
15643,257.5403137,224.3431396
15700,274.6654053,221.8498383
15800,270.3955994,231.6000671
15857,246.0832062,217.4658356
15957,278.6080627,223.0643158
16014,275.8439331,209.6430817
16114,276.2479858,226.2225342
16171,258.4969482,222.3958435
16271,275.2865906,226.4828949
16328,276.4141541,212.2428741
16428,268.8832092,205.1956635
16485,246.4275818,225.9129486
16585,286.3172302,218.804306
16642,294.5977173,216.5208435
16742,285.739624,219.8014374
16799,270.0809631,210.9757996
16899,271.8119202,202.0315247
16956,253.5920868,220.6495056
17056,260.870636,218.7270508
17113,270.3226013,202.8508911
17213,266.6078186,213.9077911
17270,253.6736603,210.3182831
17370,264.772522,220.9054108
17427,267.6899719,207.6722107
