Step,dloss,gloss,fid
100,0.052556399,0.675804853,502.9562073
300,0.015163829,0.877114177,317.8254395
500,0.016797693,0.956031322,407.3655396
600,0.042396426,0.758704901,364.4369812
725,0.132034227,1.030331135,362.559082
925,0.234383762,0.708348095,317.0064392
1025,0.20151493,0.579491675,295.1632385
1125,0.209413499,0.434262991,283.2127686
1225,0.142075196,0.623493314,300.3502197
1250,0.21582441,0.795159698,258.6740723
1350,0.113389514,0.563720226,274.7241516
1450,0.09968777,0.689415097,246.7448578
1550,0.194397509,1.071388125,242.3523254
1650,0.073945835,0.94869715,263.1415405
1750,0.164121449,1.0022614,254.9173737
1850,0.153541714,0.678172529,258.7129822
1975,0.099191025,0.775244594,265.2304993
2175,0.120285936,0.660209119,283.9324646
2275,0.144249707,0.354820669,266.6551208
2475,0.252083331,0.615626454,252.4213562
2700,0.151986733,0.691156149,243.7027588
2800,0.180814087,0.71634233,236.4064636
2900,0.104599923,0.817855835,248.7202911
3000,0.182663858,0.588740706,260.8548584
3100,0.135685414,0.624547184,255.8590088
3225,0.135593206,0.889963627,250.1882324
3525,0.170702368,0.79630363,241.5342102
3625,0.131649733,0.867018104,244.1189117
3750,0.147233412,0.626624465,257.532135
3850,0.11372783,0.708874702,241.2532349
3950,0.12928313,0.688738406,231.8796844
4050,0.145977885,0.460583687,234.6253662
4150,0.165019318,0.676095426,233.0056763
4250,0.118670113,0.391946763,246.14328
4375,0.13146767,0.469061255,255.5719757
4475,0.173826218,0.914085865,249.2400665
4775,0.199689299,0.42813468,244.2975159
4875,0.172769338,0.539526939,234.9052887
4975,0.17784667,0.51070708,225.5654602
5000,0.136219859,0.454054654,235.1528473
5100,0.187657088,0.999951899,237.2967072
5400,0.235810176,0.383269966,243.2632446
5500,0.180601701,0.417122364,236.5050659
5600,0.146360099,0.35643965,237.6627502
5625,0.177532464,0.665203214,237.9076538
5725,0.158384502,0.430619895,229.7561951
5825,0.088465691,0.5452106,244.9985352
5925,0.124753043,0.495166481,252.2282715
6025,0.180505663,0.209520176,239.0281372
6125,0.170249671,0.399513572,239.625885
6225,0.136007965,0.405168116,249.4948578
6350,0.157425821,0.482533932,227.8197937
6450,0.157314673,0.653795362,233.173233
6550,0.170632899,0.40464884,230.0650482
6650,0.24955982,0.636058033,258.0753174
6850,0.147954538,0.446469128,254.0863495
6975,0.143164888,0.670240939,246.1203156
7075,0.205240965,0.452121794,239.3856659
7275,0.22733973,0.345444083,232.0688934
7375,0.196682155,0.354321688,236.6841736
7500,0.17648676,0.396493465,245.939682
7600,0.13316524,0.601252258,224.8314209
7700,0.153666228,0.477277815,232.0014954
7800,0.161903054,0.40413779,247.0819855
7900,0.243423641,0.610702097,248.3165131
8000,0.160574943,0.416019678,241.8196564
8125,0.173109204,0.512681544,247.285553
8225,0.218483791,0.584950149,235.811676
8325,0.177952141,0.413312048,243.9004669
8425,0.18833144,0.481375635,241.1680908
8625,0.164949402,0.545427382,238.6199341
8850,0.145714372,0.339607596,237.2647552
8950,0.174319386,0.269144624,249.5890045
9050,0.195127368,0.413780242,240.1945343
9150,0.172670722,0.390251696,237.7264862
9350,0.218991905,0.408182353,234.4076996
9375,0.18506974,0.655065656,228.8114014
9475,0.223795995,0.437934875,243.2313843
9775,0.180077076,0.445688188,238.27948
9875,0.194938138,0.520494103,226.7079926
10100,0.216326505,0.351200253,261.7107544
10400,0.155489266,0.471628487,251.5947571
10500,0.281674117,0.905964553,226.9406738
10600,0.161525995,0.358032227,227.4740448
10625,0.201526612,0.37768501,232.4971619
10725,0.202814251,0.521144629,250.6404114
11025,0.212004244,0.626533747,252.6456451
11125,0.194438413,0.36497122,231.4974365
11225,0.236407921,0.359372884,234.4425507
11250,0.143384695,0.586651921,233.0201263
11350,0.221707165,0.455702037,232.2160187
11550,0.217976183,0.621722937,244.880661
11650,0.203271836,0.489778847,240.4229279
11875,0.177446708,0.357707918,248.7760925
12175,0.241052166,0.886811018,233.3121338
12275,0.240318134,0.426528394,218.7658081
12475,0.213684589,0.480685234,245.7849579
12600,0.204076409,0.435619712,253.4988251
12700,0.164964974,0.290098131,227.3217468
12800,0.187460974,0.461360037,242.9932556
12900,0.210624561,0.391614914,245.071167
13000,0.172749341,0.439517289,238.1212769
13100,0.15842478,0.495755374,238.9128265
13225,0.200003907,0.483409286,226.7077332
13325,0.152555257,0.569791436,223.0034637
13425,0.203662217,0.233501881,229.3500977
13525,0.242573366,0.388380021,235.9718628
13725,0.215068921,0.562843084,235.5332184
13750,0.166260421,0.325993091,241.040329
13850,0.185332507,0.398635447,219.1474152
14050,0.210240602,0.532949805,230.1868896
14150,0.180902004,0.324024945,234.0570984
14250,0.206262946,0.599326253,229.3618011
14375,0.162866861,0.423926294,223.5526886
14475,0.226677328,0.443505079,229.6604919
14675,0.25210461,0.294985771,232.0215912
14775,0.198213801,0.262893915,224.4514313
14975,0.200567633,0.385355532,238.9401245
15000,0.198704585,0.366675407,239.2630615
15100,0.178622112,0.396380723,237.6358795
15300,0.176267073,0.43307358,241.3903809
15400,0.195283338,0.256497443,254.2023621
15625,0.242181063,0.64256227,225.5045319
15725,0.260242373,0.708958268,233.0054321
15825,0.197706938,0.63912642,227.7982788
15925,0.230104834,0.559379995,231.6735077
16125,0.25247857,0.291416824,230.1194
16225,0.207465798,0.357328326,224.1325836
16350,0.176731795,0.575007319,235.9064178
16550,0.191351965,0.359918892,236.127594
16650,0.175880685,0.362809569,238.9528961
16750,0.251095295,0.693260014,245.1197205
16850,0.219661891,0.534547746,237.2711639
16975,0.195565164,0.707662165,232.3435211
17075,0.202618301,0.477513164,236.2221985
17375,0.194622934,0.234230563,252.9049225
17700,0.22077249,0.191466033,227.2780151
17800,0.220166162,0.372407466,228.8761749
18100,0.188992277,0.33676213,232.6127167
18125,0.161705703,0.322024405,238.6230011
18325,0.178239286,0.513749123,230.8869171
18425,0.348533213,0.294013262,242.4251709
18525,0.163457856,0.386425436,238.8696899
18625,0.197764575,0.495092332,245.545929
18725,0.190985948,0.313653529,224.2987823
18950,0.219813958,0.51462394,233.8269653
19050,0.207558453,0.452589661,228.8085022
19150,0.205379561,0.541790009,222.0519867
19250,0.296246678,0.395600557,234.8726349
19475,0.20053193,0.255427778,239.6634521
19575,0.259446412,0.397617519,251.9519806
