Step,lr1,lr2,311,312
42,6.37E-07,6.37E-07,0.029239692,0.01940258
167,0.001582961,0.001582961,0.028363665,0.018857127
229,0.001702857,0.001702857,0.028451625,0.019362323
234,0.001669432,0.001669432,0.028118982,0.019182259
273,0.003933348,0.003933348,0.027451178,0.018893903
474,0.00489983,0.00489983,0.02673142,0.018519808
536,0.00878516,0.00878516,0.026056989,0.01810534
579,0.012778169,0.012778169,0.025318552,0.017627708
586,0.016857868,0.016857868,0.024718,0.017143717
634,0.022964271,0.022964271,0.024027365,0.016706977
647,0.028177803,0.028177803,0.02348069,0.017206136
714,0.034007127,0.034007127,0.022855708,0.016740563
808,0.035496383,0.035496383,0.022970596,0.019199085
1014,0.040209308,0.040209308,0.022385016,0.019157727
1333,0.041977924,0.041977924,0.021949218,0.018896176
1337,0.042471478,0.042471478,0.022273911,0.018858244
1385,0.043885189,0.043885189,0.021678595,0.018538466
1392,0.047695697,0.047695697,0.021422617,0.018173045
1436,0.046706449,0.046706449,0.020928052,0.017850732
1691,0.04869995,0.04869995,0.020570363,0.01831006
1734,0.047727512,0.047727512,0.020202719,0.019305753
1737,0.050759107,0.050759107,0.020012132,0.0191927
1877,0.050306607,0.050306607,0.019668966,0.018957598
1917,0.060400894,0.060400894,0.020055973,0.018913644
2036,0.059183706,0.059183706,0.019947061,0.019106925
2199,0.065516678,0.065516678,0.019667048,0.019845011
2307,0.067879968,0.067879968,0.020601864,0.021780278
2389,0.068082896,0.068082896,0.020146603,0.021646705
2485,0.066859081,0.066859081,0.019760222,0.021604785
2486,0.065650685,0.065650685,0.01944324,0.021428404
2498,0.067568649,0.067568649,0.019677318,0.021600279
2685,0.068805441,0.068805441,0.019516783,0.021928129
3038,0.072242661,0.072242661,0.019323829,0.022045701
3230,0.072457133,0.072457133,0.019222982,0.022756616
3246,0.072688027,0.072688027,0.019176493,0.023297306
3305,0.072950132,0.072950132,0.019014413,0.02341782
3618,0.074349691,0.074349691,0.021137783,0.023056671
3620,0.082128272,0.082128272,0.020999547,0.023030398
3670,0.083056265,0.083056265,0.021587725,0.023241072
3741,0.082070927,0.082070927,0.021748189,0.02442405
3814,0.08140156,0.08140156,0.021663214,0.024473575
3821,0.079207626,0.079207626,0.021876334,0.024109801
3956,0.088006971,0.088006971,0.0228793,0.023923173
4317,0.090023587,0.090023587,0.022728345,0.02424297
4400,0.089435425,0.089435425,0.023407146,0.024600252
4492,0.09236549,0.09236549,0.023848433,0.025595969
4509,0.092574609,0.092574609,0.023404564,0.026416863
4676,0.092332454,0.092332454,0.023106943,0.027414836
4788,0.090595951,0.090595951,0.023143184,0.028478738
4971,0.089544255,0.089544255,0.022978174,0.028088435
5134,0.087975375,0.087975375,0.022595437,0.028934667
5345,0.089890642,0.089890642,0.026283944,0.029780028
5359,0.088018864,0.088018864,0.025991946,0.030178263
5723,0.089498359,0.089498359,0.025581115,0.031020766
5864,0.090170973,0.090170973,0.025546991,0.032045132
5907,0.088316931,0.088316931,0.02528882,0.031995219
5990,0.087111225,0.087111225,0.026497349,0.031759874
6200,0.088114346,0.088114346,0.02703861,0.031539218
6219,0.088822079,0.088822079,0.026996077,0.033668509
6289,0.091589374,0.091589374,0.027104044,0.034472491
6574,0.09295557,0.09295557,0.026895219,0.034102513
6699,0.097796875,0.097796875,0.02764572,0.0350156
6711,0.098000443,0.098000443,0.027240291,0.035247362
6854,0.097206731,0.097206731,0.028997977,0.0361682
6966,0.097342682,0.097342682,0.028508041,0.036405294
7155,0.104982304,0.104982304,0.02836109,0.03637101
7382,0.105443271,0.105443271,0.029105791,0.036706275
7460,0.107206206,0.107206206,0.028714703,0.036780705
7463,0.104948771,0.104948771,0.02862442,0.036454077
7511,0.108086498,0.108086498,0.028132521,0.036365511
7798,0.107681852,0.107681852,0.027523062,0.03603946
7833,0.108158696,0.108158696,0.026988861,0.035516753
7991,0.114213467,0.114213467,0.027610316,0.036805903
8066,0.114993414,0.114993414,0.02733215,0.037799741
8180,0.11456531,0.11456531,0.027175063,0.03786941
8221,0.115164727,0.115164727,0.027425374,0.039205407
8363,0.117524538,0.117524538,0.027265044,0.039096074
8498,0.122823286,0.122823286,0.026890808,0.039631968
8508,0.121549649,0.121549649,0.026754309,0.040238242
8601,0.123246955,0.123246955,0.02680802,0.040025622
8878,0.127051768,0.127051768,0.026824576,0.040704964
