Step,311,312,lr1,lr2
42,0.029239692,0.01940258,6.37E-07,6.37E-07
167,3.88E-05,0.001220798,0.052744783,0.052744783
229,0.031295657,0.035697006,0.005579497,0.005579497
234,0.01736352,0.013360186,0.000588665,0.000588665
273,0.00585886,0.009570384,0.077133305,0.077133305
474,0.003459234,0.00642408,0.036149424,0.036149424
536,0.00425038,0.004704225,0.134410828,0.134410828
579,0.001442446,0.002184275,0.141885459,0.141885459
586,0.005300141,0.001494652,0.148768127,0.148768127
634,0.001696844,0.002585724,0.220404625,0.220404625
647,0.005804867,0.033345625,0.196748689,0.196748689
714,0.002647938,0.001687009,0.222488612,0.222488612
808,0.026685307,0.098691314,0.083648995,0.083648995
1014,0.00345128,0.01782047,0.192593873,0.192593873
1333,0.007858412,0.010439359,0.099163175,0.099163175
1337,0.032772303,0.017631799,0.058429711,0.058429711
1385,0.002430046,0.008198981,0.089595184,0.089595184
1392,0.013146,0.006357756,0.170902133,0.170902133
1436,0.004937113,0.007429278,0.014720757,0.014720757
1691,0.009005077,0.033161674,0.113156483,0.113156483
1734,0.008315565,0.051499799,0.016285354,0.016285354
1737,0.013849837,0.015537335,0.148780674,0.148780674
1877,0.008573264,0.011355979,0.03567579,0.03567579
1917,0.032569192,0.017492469,0.386782825,0.386782825
2036,0.016425574,0.025356324,0.019827966,0.019827966
2199,0.010613303,0.043709807,0.270282775,0.270282775
2307,0.05082757,0.084353909,0.14429301,0.14429301
2389,0.005426487,0.017327851,0.074644238,0.074644238
2485,0.007267265,0.020249341,0.027289066,0.027289066
2486,0.009194124,0.015725438,0.026579214,0.026579214
2498,0.027245857,0.027157564,0.129582793,0.129582793
2685,0.014326156,0.032528624,0.108795047,0.108795047
3038,0.013084991,0.025847178,0.183379471,0.183379471
3230,0.015962249,0.045742877,0.079391718,0.079391718
3246,0.017673347,0.040779606,0.080153599,0.080153599
3305,0.013773818,0.027314464,0.081424855,0.081424855
3618,0.089793436,0.011379511,0.119602114,0.119602114
3620,0.016529918,0.022180893,0.333635718,0.333635718
3670,0.040605463,0.030052878,0.113061368,0.113061368
3741,0.026936542,0.062673673,0.050211646,0.050211646
3814,0.018915666,0.026074868,0.059758693,0.059758693
3821,0.028767223,0.012347769,0.008270442,0.008270442
3956,0.055308532,0.017888874,0.372519135,0.372519135
4317,0.017847482,0.034583069,0.155227482,0.155227482
4400,0.045355022,0.036152381,0.070418209,0.070418209
4492,0.038116716,0.057790801,0.187104255,0.187104255
4509,0.009052816,0.052959111,0.099336125,0.099336125
4676,0.013483869,0.059682645,0.084502757,0.084502757
4788,0.024314962,0.062878244,0.034449022,0.034449022
4971,0.017642856,0.015468614,0.055539414,0.055539414
5134,0.010220284,0.056296162,0.037248284,0.037248284
5345,0.145545647,0.057113368,0.15181759,0.15181759
5359,0.016550677,0.043054543,0.027498053,0.027498053
5723,0.012297591,0.058261704,0.13733536,0.13733536
5864,0.024443638,0.06516628,0.111918822,0.111918822
5907,0.016941305,0.030381365,0.028369572,0.028369572
5990,0.065573119,0.024150385,0.048126742,0.048126742
6200,0.044539388,0.024404671,0.120548591,0.120548591
6219,0.025620818,0.102515608,0.111705437,0.111705437
6289,0.030594995,0.060467888,0.181065261,0.181065261
6574,0.020143211,0.022139905,0.137129217,0.137129217
6699,0.051911928,0.064538747,0.254332423,0.254332423
6711,0.014131409,0.042740993,0.104582459,0.104582459
6854,0.085829832,0.06594196,0.071543388,0.071543388
6966,0.012666756,0.044071339,0.101738438,0.101738438
7155,0.023609696,0.035262488,0.35199672,0.35199672
7382,0.053184435,0.047546517,0.120347887,0.120347887
7460,0.016069533,0.039187256,0.164207757,0.164207757
7463,0.025705284,0.025893131,0.031958375,0.031958375
7511,0.012227781,0.033501875,0.209539682,0.209539682
7798,0.007817231,0.025497142,0.094598308,0.094598308
7833,0.009716344,0.018615887,0.123576626,0.123576626
7991,0.047704022,0.078488432,0.309984416,0.309984416
8066,0.018338133,0.069933817,0.140211686,0.140211686
8180,0.022095894,0.040122058,0.100723296,0.100723296
8221,0.035518788,0.082402632,0.134545878,0.134545878
8363,0.022081017,0.035560966,0.193825096,0.193825096
8498,0.014790537,0.056959204,0.294149458,0.294149458
8508,0.022340842,0.059841104,0.080368727,0.080368727
8601,0.028544668,0.033150908,0.178126514,0.178126514
8878,0.027359884,0.062670365,0.250074059,0.250074059
8935,0.024671555,0.051011998,0.136682317,0.136682317
8993,0.019236226,0.048222028,0.140726671,0.140726671
9260,0.024611402,0.070225939,0.118139558,0.118139558
9468,0.023694795,0.061107688,0.023083601,0.023083601
9554,0.037256852,0.043475389,0.029129133,0.029129133
9567,0.04873988,0.033547059,0.187892243,0.187892243
9698,0.017677326,0.033027362,0.120795116,0.120795116
9843,0.034638211,0.05757466,0.135778338,0.135778338
9907,0.030427353,0.07739608,0.28903836,0.28903836
10276,0.016783807,0.075001448,0.282879353,0.282879353
10283,0.014196733,0.046925861,0.117047362,0.117047362
10399,0.01676368,0.036226578,0.179149598,0.179149598
10479,0.030534582,0.064240769,0.118074864,0.118074864
10522,0.020797173,0.016750852,0.118647799,0.118647799
10607,0.026285091,0.075835511,0.158679679,0.158679679
10780,0.037372947,0.049395412,0.183609039,0.183609039
10902,0.017741481,0.043782286,0.11748904,0.11748904
10905,0.024056181,0.074934423,0.126888454,0.126888454
10966,0.021069128,0.072203435,0.17857866,0.17857866
10974,0.038901631,0.039691716,0.194629237,0.194629237
11020,0.026462724,0.010893879,0.202578276,0.202578276
11102,0.04155672,0.038500916,0.152375549,0.152375549
11419,0.018342471,0.062546484,0.202813983,0.202813983
11472,0.081899047,0.053708311,0.124907687,0.124907687
11532,0.041343078,0.053505719,0.095048644,0.095048644
11566,0.053465873,0.072687551,0.034798391,0.034798391
11685,0.035922833,0.089113466,0.066012539,0.066012539
11759,0.050025836,0.051130738,0.090096191,0.090096191
11969,0.035472587,0.029682532,0.172213167,0.172213167
11974,0.014467783,0.075314127,0.08368504,0.08368504
12164,0.046808001,0.102689087,0.188699692,0.188699692
12290,0.018236132,0.044151343,0.120664068,0.120664068
12671,0.026915185,0.057911109,0.103086844,0.103086844
12877,0.065135896,0.033625565,0.049384572,0.049384572
13034,0.018056337,0.095283404,0.18115066,0.18115066
13061,0.021012079,0.096837759,0.232438341,0.232438341
13546,0.030201595,0.052318767,0.134554461,0.134554461
