Step,max-d,min-d,max-g,min-g,max-fid,min-fid,max-f,min-f
42,0.05393118,0.052556399,0.671671391,0.675804853,389.4219055,502.9562073,0.035758354,0.033973984
167,0.052192554,0.050686771,0.687125791,0.685870319,381.0752807,465.9300537,0.035262021,0.033395156
229,0.050118762,0.048992317,0.697758363,0.699378369,378.5087781,454.2171509,0.034589579,0.033135979
234,0.053268243,0.048662522,0.709740676,0.702344696,369.0996921,436.261117,0.034065286,0.032668988
273,0.055014705,0.052831107,0.711058649,0.718744018,361.3504568,421.52071,0.035247681,0.035658572
474,0.058074662,0.06190874,0.698017549,0.718224222,353.3056462,400.6178558,0.036931204,0.039658901
536,0.063951328,0.06888905,0.703200822,0.711287594,345.0686625,379.5269324,0.037096717,0.041558168
579,0.068407364,0.075915272,0.70240338,0.697436364,329.1404891,360.2640996,0.040655231,0.045820016
586,0.077923123,0.079223268,0.716433717,0.693739212,315.8792003,348.2813236,0.040098062,0.046977456
634,0.08001211,0.086053325,0.716350016,0.698810236,303.7633487,330.3598734,0.041175481,0.051425022
647,0.083062163,0.087420135,0.711525104,0.692055736,295.4084633,319.232729,0.041887464,0.052415511
714,0.086282539,0.088033517,0.707755342,0.691923704,287.0782386,304.7351548,0.045217858,0.051725076
808,0.086605077,0.093351716,0.717883633,0.710896925,278.0623772,292.2585889,0.04532509,0.054555261
1014,0.086165259,0.092381422,0.716269484,0.722786936,270.4960261,286.4351792,0.044499332,0.053913307
1333,0.086774178,0.095968423,0.709149426,0.736760659,265.1672249,280.1316181,0.044827106,0.058184132
1337,0.088661625,0.098847088,0.698559811,0.733831253,262.1724915,275.8478909,0.044961588,0.058018966
1385,0.089985419,0.098864285,0.69820672,0.73590192,260.5885944,273.7244126,0.047503649,0.059247862
1392,0.093215393,0.099935367,0.705240977,0.73211728,256.171318,275.766023,0.050326332,0.059902236
1436,0.095529908,0.102151084,0.701073083,0.713252449,254.4901977,273.9438426,0.051547714,0.062740097
1691,0.097896698,0.109647697,0.710189183,0.708371149,252.8900097,269.6393453,0.053917527,0.068451205
1734,0.098559301,0.111764649,0.707803825,0.707510399,252.7516226,264.452028,0.055306485,0.068661951
1737,0.099307913,0.11521712,0.709664349,0.707951996,253.7192791,258.8429151,0.056852437,0.070899839
1877,0.103124193,0.114686261,0.709374795,0.713447188,249.6061819,256.8183903,0.05865177,0.071396735
1917,0.107168092,0.11808514,0.698574736,0.707211864,247.1683653,257.6256839,0.059399143,0.071671837
2036,0.106151034,0.118965154,0.699235223,0.70307863,245.7941405,257.2723489,0.060425115,0.071236209
2199,0.107813112,0.119796557,0.713060552,0.71242288,246.9845922,255.8555256,0.063139625,0.071870342
2307,0.10967122,0.122341847,0.704856173,0.716616917,247.7655058,252.9912625,0.063852644,0.074207908
2389,0.112672338,0.122807242,0.703716656,0.724136976,246.0668938,251.2167924,0.066471244,0.076150411
2485,0.116653138,0.12402855,0.698725929,0.719261351,243.7030145,252.4798609,0.07062094,0.076183698
2486,0.119048474,0.123513514,0.710724362,0.718742018,243.2787538,250.2345357,0.072821881,0.076509116
2498,0.121158605,0.123801995,0.701722004,0.717241838,240.1357014,246.5635654,0.072177271,0.07614509
2685,0.123157343,0.124910789,0.687538808,0.70440893,240.79499,244.1759256,0.073786616,0.076424092
3038,0.12269189,0.126916216,0.677652984,0.702993255,241.5592555,241.9418757,0.074157176,0.078796625
3230,0.1242049,0.126503911,0.682452671,0.68744093,243.2716689,242.7821566,0.077114501,0.080052197
3246,0.123065811,0.126752099,0.672003715,0.676521947,240.2725201,245.3401204,0.078360727,0.079307614
3305,0.128758574,0.129105805,0.666366088,0.688400143,237.6848038,246.1201096,0.078610495,0.082143568
3618,0.132913934,0.132634979,0.668844367,0.675386869,234.7724402,245.7555909,0.082734123,0.082521776
3620,0.134227971,0.134641697,0.655559164,0.668593873,231.0696825,243.5855304,0.083665745,0.082927492
3670,0.135884177,0.136801946,0.65994964,0.660699533,233.8225002,239.9815164,0.087475678,0.08551074
3741,0.135729775,0.136772842,0.652934263,0.650367289,236.4524917,239.0157826,0.088708702,0.08460438
3814,0.135898683,0.139317054,0.652344478,0.66784652,238.3567169,238.6719675,0.089011076,0.08840345
3821,0.135692576,0.14414171,0.642802611,0.653617692,238.1350561,239.5902229,0.088988918,0.087319636
3956,0.136277201,0.14596471,0.633788204,0.641792926,237.7056584,238.9731915,0.0897871,0.087719414
4317,0.137262985,0.145984479,0.622186344,0.627525262,238.0187199,238.7111033,0.089485533,0.088230683
4400,0.136736653,0.147561878,0.616338849,0.62940916,238.9500345,238.5504134,0.089568644,0.090523559
4492,0.135860866,0.148103009,0.616277239,0.619469696,238.1764705,236.7915697,0.090952016,0.090828784
4509,0.13596692,0.145121144,0.631353747,0.615756742,237.7435415,238.4329628,0.093476342,0.090980557
4676,0.138247502,0.144102738,0.632989894,0.609727228,238.1751921,241.1920245,0.096023201,0.089984446
4788,0.139132105,0.145922885,0.621544481,0.589716876,239.2258928,240.7592471,0.095480563,0.089957643
4971,0.138327042,0.147139224,0.609161756,0.580206711,237.0873213,240.5325747,0.094844549,0.08915662
5134,0.139844599,0.146582661,0.596463619,0.571454781,239.6413262,242.3250313,0.094307557,0.088899069
5345,0.140043449,0.147124819,0.585331394,0.567008738,239.3708399,239.4239838,0.094377318,0.090136792
5359,0.141828846,0.147634312,0.593440262,0.57134807,239.3573256,238.1738336,0.097109725,0.090072459
5723,0.144255592,0.148784241,0.586080866,0.563013108,238.4201378,236.5520765,0.096309542,0.089770348
5864,0.14814707,0.15382302,0.590718867,0.566665354,240.1654895,240.8567247,0.100067854,0.092178765
5907,0.149490179,0.153529596,0.580502623,0.560655543,240.4756228,243.5026497,0.098904391,0.0931525
5990,0.152031457,0.153011361,0.581061954,0.566134813,237.5958517,244.0261829,0.101787798,0.09506243
6200,0.155630068,0.155622841,0.589543537,0.560434162,242.2904264,243.0980795,0.105706597,0.095405868
6219,0.156139802,0.159208685,0.58470377,0.549684658,240.203911,240.8922422,0.106760168,0.094731217
6289,0.158337505,0.161082359,0.572923653,0.53991651,240.0853669,240.0506285,0.10736087,0.09488271
6574,0.160418381,0.161852579,0.562932977,0.532745357,242.5662275,241.2284392,0.107185575,0.096125476
6699,0.160328786,0.160418212,0.558049993,0.536170702,239.6247319,237.9490356,0.107297074,0.097638416
6711,0.16113031,0.160080613,0.556281952,0.533226058,240.5759757,236.7595275,0.108957556,0.098545999
