Step,max-d,min-d,max-g,min-g,max-fid,min-fid,max-f,min-f
42,0.05393118,0.052556399,0.671671391,0.675804853,389.4219055,502.9562073,0.035758354,0.033973984
167,0.019158663,0.015163829,0.980759382,0.877114177,347.6887817,317.8254395,0.035262021,0.033395156
229,0.010716703,0.016797693,0.899777234,0.956031322,368.2427673,407.3655396,0.034589579,0.033135979
234,0.113108382,0.042396426,0.937404633,0.758704901,331.4633484,364.4369812,0.034065286,0.032668988
273,0.088197485,0.132034227,0.736100137,1.030331135,330.3535156,362.559082,0.035247681,0.035658572
474,0.116213851,0.234383762,0.450236648,0.708348095,321.1264038,317.0064392,0.036931204,0.039658901
536,0.175607979,0.20151493,0.801683009,0.579491675,312.1207275,295.1632385,0.037096717,0.041558168
579,0.153072059,0.209413499,0.687251985,0.434262991,265.4277954,283.2127686,0.040655231,0.045820016
586,0.258722544,0.142075196,0.983010113,0.623493314,262.8340454,300.3502197,0.040098062,0.046977456
634,0.119702846,0.21582441,0.714759707,0.795159698,255.299942,258.6740723,0.041175481,0.051425022
647,0.141013175,0.113389514,0.619851768,0.563720226,261.9889221,274.7241516,0.041887464,0.052415511
714,0.147469684,0.09968777,0.636129856,0.689415097,253.7573395,246.7448578,0.045217858,0.051725076
808,0.092733294,0.194397509,0.910321176,1.071388125,241.9989319,242.3523254,0.04532509,0.054555261
1014,0.07780873,0.073945835,0.685600638,0.94869715,240.2306213,263.1415405,0.044499332,0.053913307
1333,0.098343626,0.164121449,0.573868334,1.0022614,243.8520203,254.9173737,0.044827106,0.058184132
1337,0.124523133,0.153541714,0.49735713,0.678172529,250.1935577,258.7129822,0.044961588,0.058018966
1385,0.115137503,0.099191025,0.691497982,0.775244594,254.253006,265.2304993,0.047503649,0.059247862
1392,0.1545849,0.120285936,0.838891864,0.660209119,238.5022125,283.9324646,0.050326332,0.059902236
1436,0.139505684,0.144249707,0.621883094,0.354820669,247.7657166,266.6551208,0.051547714,0.062740097
1691,0.142865717,0.252083331,0.883395076,0.615626454,246.4892578,252.4213562,0.053917527,0.068451205
1734,0.11114876,0.151986733,0.662482023,0.691156149,252.1980743,243.7027588,0.055306485,0.068661951
1737,0.11353153,0.180814087,0.74501431,0.71634233,257.5899048,236.4064636,0.056852437,0.070899839
1877,0.17563352,0.104599923,0.703873277,0.817855835,233.1537933,248.7202911,0.05865177,0.071396735
1917,0.184002161,0.182663858,0.493373603,0.588740706,237.417099,260.8548584,0.059399143,0.071671837
2036,0.086826943,0.135685414,0.711784482,0.624547184,240.2972412,255.8590088,0.060425115,0.071236209
2199,0.139392585,0.135593206,0.975741804,0.889963627,251.7463989,250.1882324,0.063139625,0.071870342
2307,0.144975275,0.170702368,0.548972964,0.79630363,250.8891602,241.5342102,0.063852644,0.074207908
2389,0.169693574,0.131649733,0.682065845,0.867018104,239.2724457,244.1189117,0.066471244,0.076150411
2485,0.192288339,0.147233412,0.603902102,0.626624465,234.2474976,257.532135,0.07062094,0.076183698
2486,0.164559871,0.11372783,0.938694596,0.708874702,241.5817108,241.2532349,0.072821881,0.076509116
2498,0.161251098,0.12928313,0.530677199,0.688738406,227.5634918,231.8796844,0.072177271,0.07614509
2685,0.161133349,0.145977885,0.418058097,0.460583687,243.4321442,234.6253662,0.073786616,0.076424092
3038,0.113848299,0.165019318,0.489822328,0.676095426,244.6163177,233.0056763,0.074157176,0.078796625
