Step,worker1,worker2,worker3,worker4
42,0.008987952,0.016543802,0.020198394,0.022952043
167,0.008180395,0.015575041,0.01724868,0.019576619
229,0.007489729,0.01417713,0.014849597,0.017394463
234,0.006988161,0.012966403,0.014707996,0.015847186
273,0.011993014,0.013369906,0.024011661,0.016568764
474,0.014180982,0.025978237,0.026670197,0.026294631
536,0.018290876,0.024201272,0.023443233,0.040977316
579,0.017140474,0.037404965,0.039389871,0.058092009
586,0.016999991,0.039989257,0.050528941,0.071187792
634,0.017424423,0.039988259,0.055278502,0.063554116
647,0.016422915,0.039935001,0.066140015,0.063310439
714,0.028361752,0.041518427,0.074624441,0.058408474
808,0.032581057,0.041144853,0.076603168,0.061462176
1014,0.034227032,0.042250872,0.072767824,0.069211941
1333,0.042687385,0.040873236,0.079879485,0.064101536
1337,0.040390785,0.037817957,0.079872555,0.058439532
1385,0.040172218,0.035296786,0.070974035,0.079832472
1392,0.042448155,0.036333202,0.063287543,0.091577296
1436,0.051199605,0.033562088,0.062820166,0.083744649
1691,0.050644684,0.052258998,0.070107848,0.095048076
1734,0.047499306,0.052315429,0.070707343,0.083170538
1737,0.044273084,0.059712976,0.062376584,0.071659301
1877,0.044346584,0.060247598,0.060446709,0.080103608
1917,0.043205892,0.067024916,0.06801726,0.073685384
2036,0.041536249,0.072997981,0.068809962,0.072109601
2199,0.038379521,0.07351807,0.063472214,0.071006015
2307,0.035763609,0.107388311,0.064028987,0.068512768
2389,0.03368961,0.107198278,0.063405933,0.063494352
2485,0.032338314,0.09899123,0.078833257,0.058825557
2486,0.031785811,0.098723801,0.071797486,0.054703061
2498,0.030650937,0.10450074,0.067719617,0.061747192
2685,0.029294957,0.104367303,0.059020816,0.060172901
3038,0.044678874,0.100653629,0.06123948,0.070278696
3230,0.052903049,0.091973423,0.055531436,0.073235171
3246,0.05765725,0.085315019,0.053241364,0.068561968
3305,0.060337216,0.082947926,0.050721396,0.066432422
3618,0.056631845,0.079398975,0.05532896,0.059518305
3620,0.062569584,0.073194645,0.062727416,0.072333835
3670,0.064276734,0.067532628,0.065076511,0.065368768
3741,0.059989221,0.066429923,0.059929834,0.067415389
3814,0.067957219,0.062466668,0.062221356,0.062232845
3821,0.065441884,0.058160882,0.056288697,0.067645609
3956,0.066067222,0.057095591,0.066041553,0.071173275
4317,0.070043095,0.053408901,0.058319101,0.073744316
4400,0.07348139,0.049337741,0.054390615,0.067442469
4492,0.074627552,0.046266346,0.052722311,0.065310108
4509,0.07134933,0.042851582,0.048591188,0.062098901
4676,0.075513172,0.041209195,0.04910765,0.065478562
4788,0.077561579,0.03813002,0.045468446,0.062641357
4971,0.083717092,0.035223006,0.042282514,0.077818487
5134,0.085941852,0.033373201,0.050841847,0.071492469
5345,0.08559999,0.032492434,0.045165943,0.081118159
5359,0.081042565,0.032464488,0.04196832,0.076072988
5723,0.077727703,0.030234906,0.040157697,0.069657022
5864,0.079870578,0.028855107,0.041752475,0.062941001
5907,0.086658471,0.02969047,0.045713107,0.059012298
5990,0.090644961,0.027367863,0.043180081,0.062579277
6200,0.096358412,0.025706241,0.049920795,0.057763445
6219,0.099768605,0.024249138,0.046275304,0.05475003
6289,0.113288549,0.023094849,0.05322006,0.060080183
6574,0.115558977,0.021327583,0.065340351,0.056887492
6699,0.116641132,0.020300461,0.063266492,0.056944011
6711,0.116614354,0.018840868,0.06003342,0.065257647
6854,0.132335509,0.017769137,0.058133127,0.059560946
6966,0.135246742,0.016304666,0.057669791,0.056940946
7155,0.138820305,0.015216093,0.053274122,0.059121465
7382,0.144519962,0.014054918,0.049913544,0.062966634
7460,0.145744451,0.012995519,0.066792322,0.062488405
7463,0.147871544,0.012093965,0.069409293,0.061500255
7511,0.153288604,0.011402049,0.062721325,0.059030088
7798,0.144040712,0.010945863,0.064256572,0.054631538
7833,0.135610742,0.012089637,0.064688095,0.062663968
7991,0.13151449,0.011352069,0.065278527,0.059472635
8066,0.122866631,0.011261275,0.061375917,0.055906669
8180,0.136126925,0.010393252,0.075348641,0.051551399
8221,0.127923832,0.010995982,0.066802235,0.054451777
8363,0.125394021,0.010275892,0.068017289,0.049767917
8498,0.135439293,0.009966194,0.071150313,0.047080066
8508,0.145551622,0.00944282,0.070839033,0.043728479
8601,0.14865527,0.011013296,0.070947518,0.042531085
8878,0.151695837,0.013158368,0.06500114,0.046661242
8935,0.147855269,0.012665267,0.059325347,0.061674391
8993,0.140520352,0.012374083,0.055527494,0.061543031
9260,0.134371291,0.011581486,0.055771074,0.056510945
9468,0.130635826,0.013312547,0.049498048,0.057197863
9554,0.126829531,0.013183496,0.050032197,0.055895608
9567,0.11763633,0.012292552,0.047608706,0.057739624
9698,0.119246277,0.012150985,0.046663284,0.054052009
9843,0.114734055,0.011616134,0.048225905,0.053693167
9907,0.108420113,0.010895863,0.04495448,0.064472734
10276,0.115080674,0.010242162,0.040191503,0.061819828
10283,0.125235466,0.009497493,0.039945713,0.079774543
10399,0.132227752,0.012421303,0.042604139,0.093656126
10479,0.138248379,0.012022489,0.048660105,0.088659769
10522,0.139636991,0.011696407,0.071840398,0.079015513
10607,0.139014231,0.012315528,0.067228179,0.073766858
10780,0.138130547,0.011660722,0.060383089,0.076900429
10902,0.135318189,0.012361525,0.060583493,0.075026758
10905,0.130341497,0.011754632,0.055633602,0.073785817
10966,0.130658903,0.011364852,0.05116822,0.072561725
10974,0.133796507,0.011260568,0.053899448,0.071198929
11020,0.136236764,0.012821272,0.047037392,0.068007326
11102,0.131217304,0.012094157,0.041835122,0.062125987
11419,0.134018035,0.011929383,0.044597941,0.056793039
11472,0.147111356,0.014289205,0.044128742,0.057664622
11532,0.150493417,0.013679757,0.043456391,0.067771677
11566,0.14186189,0.012620336,0.040563346,0.079310866
11685,0.13226629,0.011915398,0.036390383,0.093608222
11759,0.126965055,0.01150111,0.039629766,0.085615401
11969,0.134809955,0.011024608,0.044273171,0.075197222
11974,0.136069519,0.010247422,0.043568054,0.073606057
12164,0.130015842,0.010769879,0.043851678,0.07013737
12290,0.124368913,0.013145822,0.040643074,0.064188653
12671,0.120341118,0.012165833,0.046655903,0.058306006
12877,0.1344237,0.011292478,0.05734004,0.051944043
13034,0.140630244,0.010352122,0.056281801,0.050836106
13061,0.142599256,0.010014039,0.056081032,0.046965551
13546,0.141519865,0.009258475,0.057128938,0.04366156
13597,0.146597411,0.011881361,0.050829032,0.049358502
13620,0.142680021,0.011832439,0.051468115,0.053179164
13810,0.138339638,0.011020228,0.047488141,0.061159985
14080,0.141850826,0.014266623,0.04267157,0.066275358
14221,0.143420749,0.013211075,0.048731619,0.070956637
14294,0.145407477,0.012590567,0.055202367,0.073016032
14338,0.149014575,0.015009508,0.055797528,0.07111852
14447,0.13922978,0.013897252,0.053685972,0.071480808
14638,0.134414707,0.013787848,0.051416859,0.077492488
14668,0.136804936,0.012794676,0.05130181,0.075012946
14779,0.136868812,0.012544319,0.049870063,0.075335806
14873,0.133919092,0.011602746,0.0519749,0.071808987
15473,0.138923547,0.011573976,0.050781018,0.070272594
15507,0.144319715,0.010939892,0.055475396,0.069599397
15740,0.153602036,0.010645013,0.055443342,0.069267769
15764,0.150898559,0.011705503,0.050183341,0.070867545
16116,0.144555124,0.01085936,0.049880374,0.067926181
16249,0.158571927,0.011139975,0.053381226,0.063165456
16321,0.166131724,0.011122875,0.051127763,0.062389939
16809,0.168466781,0.01154463,0.046639753,0.063384236
16857,0.170947625,0.010600762,0.045037539,0.05945122
17066,0.16418174,0.010117534,0.046517335,0.055574681
17097,0.157862484,0.010536559,0.051214209,0.075797921
17317,0.147155264,0.010222673,0.053580239,0.070113309
17339,0.135578262,0.009843673,0.048749375,0.066536704
17543,0.145913877,0.009088712,0.045455071,0.064688863
17557,0.146149246,0.008809549,0.040405901,0.058547413
17586,0.137909272,0.008812994,0.043352559,0.066242404
18451,0.136184716,0.009165891,0.039618119,0.067369358
19116,0.141337527,0.008667375,0.039048878,0.069988778
19169,0.134721014,0.008151393,0.037372649,0.072406416
19531,0.13821256,0.007550462,0.034407054,0.070820376
19640,0.132280411,0.007005829,0.033407675,0.069092344
19654,0.123839798,0.006620094,0.03692448,0.073384657
19731,0.12930147,0.008722713,0.035268961,0.074541973
19846,0.128606976,0.008147809,0.034619009,0.069875621
19995,0.121375392,0.00771723,0.035407748,0.06960511
20053,0.115027477,0.007068119,0.034556558,0.066768567
20062,0.125387078,0.006779006,0.05226533,0.06048572
20138,0.127342387,0.006465642,0.05652416,0.065125631
20244,0.125140239,0.006066531,0.051962514,0.065205022
20252,0.123779482,0.005760514,0.049604581,0.073440691
20323,0.129049315,0.009061579,0.061709719,0.071728715
20440,0.133631291,0.00833155,0.06397009,0.069269751
20539,0.129142585,0.008751179,0.058646636,0.067883039
20540,0.122477479,0.008117135,0.054752246,0.064014423
20578,0.126022871,0.00793502,0.067178357,0.059229633
20779,0.119828655,0.007557609,0.066724918,0.05572072
20782,0.117190471,0.00804763,0.059427588,0.050709532
20831,0.120208729,0.007714577,0.054944768,0.053829578
20855,0.11494124,0.007194075,0.054163834,0.055066346
21080,0.134055074,0.006918296,0.052747962,0.065232723
21144,0.125993576,0.008097732,0.054778493,0.060575822
21232,0.117607574,0.007430478,0.054850693,0.059480505
21319,0.114474479,0.007262621,0.049364111,0.076738805
21391,0.121714375,0.006767049,0.055063342,0.078019402
21523,0.125590608,0.006981265,0.058900125,0.079352669
21848,0.132620177,0.007986876,0.063662836,0.073381151
22245,0.133001223,0.007404673,0.05919539,0.06712146
22292,0.140847939,0.006862212,0.056763473,0.067540906
22330,0.131617346,0.006383831,0.065120422,0.067347261
22358,0.132636853,0.005946817,0.069118681,0.074063038
22472,0.123181314,0.00551269,0.068255581,0.068575464
22840,0.131296627,0.005232498,0.063184744,0.06309892
23138,0.126959997,0.005312636,0.057699401,0.066975339
23148,0.118650142,0.005031907,0.049899963,0.077042126
23192,0.120009872,0.004810851,0.053039748,0.077935562
