Step,worker1,worker2,worker3,worker4
42,0.008987952,0.016543802,0.020198394,0.022952043
167,1.51E-05,0.005779791,0.000533633,0.000449213
229,0.000506328,4.27E-05,0.001254795,0.005028912
234,0.001916753,0.000724603,0.013905589,0.007079284
273,0.062597632,0.01744977,0.076732427,0.020657707
474,0.036303774,0.15346247,0.041735236,0.081407875
536,0.059846468,0.006234183,0.005157103,0.124179199
579,0.005508637,0.170908973,0.129754156,0.155075267
586,0.015579544,0.066119321,0.113650337,0.145397231
634,0.021715909,0.039978169,0.082192682,0.020296622
647,0.006296551,0.039396506,0.127688587,0.061929598
714,0.149076656,0.057528619,0.122702852,0.030630674
808,0.075242922,0.037367601,0.087815955,0.078766488
1014,0.05086967,0.053433955,0.051034212,0.113127276
1333,0.128230959,0.026943803,0.120178893,0.035142571
1337,0.017169598,0.006925698,0.079833284,0.026354842
1385,0.037962262,0.009804947,0.020549092,0.201059133
1392,0.065460406,0.046812519,0.019730754,0.158131301
1436,0.139686495,0.005543046,0.060171694,0.039359648
1691,0.04503382,0.24130553,0.111404717,0.159100831
1734,0.015696032,0.052886013,0.07410448,0.015864486
1737,0.011652397,0.134510398,0.015168952,0.006428962
1877,0.045089751,0.065653212,0.049510747,0.127954677
1917,0.031672224,0.13555114,0.110917047,0.037315447
2036,0.024654306,0.133392304,0.073301941,0.063180164
2199,0.006461489,0.078776747,0.033224978,0.064752363
2307,0.00931384,0.449854076,0.067184031,0.054384366
2389,0.012719172,0.105276838,0.059875295,0.035056666
2485,0.01867521,0.016008848,0.166254759,0.032369047
2486,0.026199397,0.096019804,0.031928115,0.031342253
2498,0.019176099,0.162912011,0.044611692,0.101663932
2685,0.015584493,0.103018105,0.009727616,0.051251922
3038,0.200227365,0.063104264,0.073811904,0.127544865
3230,0.136058599,0.004206893,0.023185853,0.08998853
3246,0.105727501,0.017991152,0.040264294,0.042080488
3305,0.087434649,0.059013989,0.036441576,0.054364994
3618,0.019166427,0.043515135,0.081438489,0.020338304
3620,0.122606725,0.010461979,0.104652002,0.144955173
3670,0.081537917,0.010283337,0.07838805,0.025900055
3741,0.016637703,0.055280358,0.030765329,0.079012908
3814,0.148522526,0.022393756,0.075206645,0.032865096
3821,0.040009059,0.014624599,0.022670295,0.098317936
3956,0.072390079,0.046324313,0.121307738,0.091163382
4317,0.110243589,0.016132366,0.014558539,0.08831355
4400,0.108246371,0.008173792,0.032129198,0.031732
4492,0.086216524,0.015211135,0.043268584,0.053226732
4509,0.038202867,0.008324526,0.025181493,0.043902062
4676,0.117614239,0.02460283,0.052034266,0.084629975
4788,0.098273247,0.00699614,0.024846289,0.046563864
4971,0.145956174,0.005829867,0.024228903,0.163822219
5134,0.108436644,0.014669614,0.09934473,0.035645038
5345,0.082143389,0.023586906,0.013002489,0.135663733
5359,0.034961935,0.032181919,0.023848455,0.047483686
5723,0.044210766,0.007691353,0.029897502,0.033299878
5864,0.101537421,0.014903809,0.05078955,0.024883553
5907,0.155291617,0.038136922,0.068156689,0.036749646
5990,0.130952805,0.003883723,0.028826267,0.082792155
6200,0.154127747,0.008905391,0.088118173,0.03047373
6219,0.134249449,0.009516208,0.025617521,0.037674014
6289,0.249990195,0.011423711,0.09257368,0.090284385
6574,0.138515532,0.003458556,0.134021997,0.038795575
6699,0.127582923,0.009915118,0.051514629,0.057264287
6711,0.116343595,0.004082762,0.041712675,0.112368248
6854,0.291293859,0.006932749,0.047364801,0.027279643
6966,0.164682537,0.001497229,0.055044219,0.042094275
7155,0.174952999,0.004209417,0.028365334,0.071477741
7382,0.202149823,0.002314147,0.030870264,0.084755927
7460,0.158125401,0.002283816,0.162438735,0.059778437
7463,0.169378817,0.002978249,0.084238797,0.055900738
7511,0.208061099,0.004406014,0.024822839,0.045032479
7798,0.050534252,0.006333316,0.072956301,0.029706419
7833,0.050374374,0.023654457,0.067133397,0.108181074
7991,0.090096831,0.00389444,0.068624303,0.041388415
8066,0.035427164,0.010343247,0.039261129,0.035699524
8180,0.270203233,0.001616574,0.154527411,0.02687154
8221,0.04498145,0.017090252,0.018372601,0.070887253
8363,0.099814825,0.002994989,0.074902594,0.023226041
8498,0.237008154,0.006834801,0.088904113,0.031848911
8508,0.247798502,0.004150921,0.069075115,0.024736151
8601,0.180036604,0.026892561,0.071562268,0.035745852
8878,0.182439342,0.034847427,0.031304996,0.070065469
8935,0.109022856,0.007679462,0.027162518,0.1467489
8993,0.06635619,0.009429889,0.034006331,0.06079866
9260,0.072197452,0.003567453,0.057151359,0.027995788
9468,0.09286613,0.030815493,0.013950899,0.061090402
9554,0.088343658,0.011878654,0.053059045,0.048516158
9567,0.02468285,0.003284112,0.033875592,0.068189047
9698,0.135524631,0.010719592,0.041305888,0.033155527
9843,0.069110475,0.006208195,0.057080757,0.051659726
9907,0.044579148,0.003613122,0.026416404,0.125556946
10276,0.182426348,0.003632518,0.013201305,0.046786696
10283,0.227911696,0.00196806,0.038552903,0.181517929
10399,0.20292753,0.041984275,0.057668552,0.172318429
10479,0.199123606,0.007990033,0.082977243,0.060347077
10522,0.153677404,0.008399356,0.203195393,0.024364734
10607,0.132717431,0.018575527,0.041092269,0.044024479
10780,0.129195526,0.005039904,0.021594249,0.094657332
10902,0.106882118,0.019447431,0.061719116,0.064409286
10905,0.080021612,0.005618265,0.027584221,0.06675382
10966,0.133868232,0.007423738,0.025864387,0.065625206
10974,0.165521175,0.010206146,0.069376409,0.063476413
11020,0.160910472,0.028601721,0.008152409,0.04992158
